date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2021-03-27,ES,,state,372665,7249,False,4064052,32,9169.78917,0.0195
2021-03-27,GO,,state,474729,11130,False,7113540,52,6673.59711,0.0234
2021-03-27,MA,,state,239716,5910,False,7114598,21,3369.35411,0.0247
2021-03-27,MG,,state,1093539,23366,False,21292666,31,5135.75425,0.0214
2021-03-27,MS,,state,211282,4123,False,2809394,50,7520.55425,0.0195
2021-03-27,MT,,state,301454,7305,False,3526220,51,8548.92775,0.0242
2021-03-27,PA,,state,412122,10252,False,8690745,15,4742.07907,0.0249
2021-03-27,PB,,state,254299,5509,False,4039277,25,6295.65638,0.0217
2021-03-27,PE,,state,343406,11975,False,9616621,26,3570.96323,0.0349
2021-03-27,PI,,state,201517,3996,False,3281480,22,6141.04002,0.0198
2021-03-27,PR,,state,833786,16124,False,11516840,41,7239.71159,0.0193
2021-03-27,RJ,,state,638481,36026,False,17366189,33,3676.57521,0.0564
2021-03-27,RN,,state,193228,4413,False,3534165,24,5467.43007,0.0228
2021-03-27,RO,,state,182844,3966,False,1796460,11,10178.01677,0.0217
2021-03-27,RR,,state,89116,1320,False,631181,14,14118.92944,0.0148
2021-03-27,RS,,state,828397,18680,False,11422973,43,7252.02625,0.0225
2021-03-27,SC,,state,793856,10419,False,7252502,42,10945.96044,0.0131
2021-03-27,SE,,state,171261,3411,False,2318822,28,7385.6898,0.0199
2021-03-27,SP,,state,2410498,71747,False,46289333,35,5207.45892,0.0298
2021-03-27,TO,,state,138840,1972,False,1590248,17,8730.7137,0.0142
2021-03-26,AC,,state,67777,1224,False,894470,12,7577.3363,0.0181
2021-03-26,AL,,state,150366,3444,False,3351543,27,4486.47086,0.0229
2021-03-26,AM,,state,344224,11917,False,4207714,13,8180.78415,0.0346
2021-03-26,AP,,state,94967,1265,False,861773,16,11019.95537,0.0133
2021-03-26,BA,,state,788296,14786,False,14930634,29,5279.72221,0.0188
2021-03-26,DF,,state,337294,5674,False,3055149,53,11040.18167,0.0168
2021-03-26,ES,,state,370338,7221,False,4064052,32,9112.53104,0.0195
2021-03-26,GO,,state,474084,11058,False,7113540,52,6664.5299,0.0233
2021-03-26,MA,,state,239077,5876,False,7114598,21,3360.37257,0.0246
2021-03-26,MG,,state,1081981,22887,False,21292666,31,5081.47265,0.0212
2021-03-26,MS,,state,210002,4078,False,2809394,50,7474.99283,0.0194
2021-03-26,MT,,state,300058,7255,False,3526220,51,8509.33861,0.0242
2021-03-26,PA,,state,411363,10192,False,8690745,15,4733.34565,0.0248
2021-03-26,PB,,state,252889,5452,False,4039277,25,6260.74914,0.0216
2021-03-26,PE,,state,341249,11915,False,9616621,26,3548.53332,0.0349
